energy,transmission,reflection,T_plus_R
0.2,0.00036185871405492934,0.9996381412850612,0.9999999999991162
0.24100418410041843,0.00044628712341490516,0.999553712877869,1.0000000000012839
0.28200836820083686,0.0005345137915185913,0.999465486210778,1.0000000000022966
0.32301255230125525,0.0006266860895957623,0.9993733139104243,1.00000000000002
0.36401673640167365,0.0007229570747211825,0.9992770429257118,1.000000000000433
0.4050209205020921,0.000823485716834403,0.9991765142854753,1.0000000000023097
0.4460251046025105,0.0009284371349500207,0.9990715628665593,1.0000000000015092
0.48702928870292894,0.0010379828433035785,0.9989620171554393,0.9999999999987429
0.5280334728033473,0.0011523010076163684,0.9988476989926003,1.0000000000002167
0.5690376569037657,0.0012715767122647435,0.9987284232885848,1.0000000000008495
0.6100418410041841,0.0013960022383188101,0.9986039977607486,0.9999999999990674
0.6510460251046026,0.0015257773535418417,0.9984742226469283,1.00000000000047
0.6920502092050209,0.0016611096141093198,0.9983388903859299,1.0000000000000393
0.7330543933054394,0.0018022146793832262,0.99819778532145,1.0000000000008331
0.7740585774058579,0.0019493166394191116,0.9980506833605881,1.0000000000000073
0.8150627615062762,0.002102648356668302,0.9978973516451831,1.0000000000018514
0.8560669456066947,0.0022624518216505457,0.9977375481777876,0.9999999999994381
0.897071129707113,0.002428978523668472,0.997571021474945,0.9999999999986136
0.9380753138075315,0.0026024898371877457,0.9973975101638645,1.0000000000010523
0.97907949790795,0.0027832574241331317,0.9972167425752201,0.9999999999993532
1.0200836820083683,0.002971563653669277,0.9970284363461388,0.999999999999808
1.0610878661087868,0.0031677020386996595,0.9968322979606163,0.999999999999316
1.102092050209205,0.0033719776920634564,0.9966280223069918,0.9999999999990552
1.1430962343096236,0.0035847078000593433,0.996415292200335,1.0000000000003944
1.1841004184100419,0.0038062221177753764,0.9961937778831212,1.0000000000008966
1.2251046025104604,0.004036863483546496,0.995963136515356,0.9999999999989024
1.2661087866108787,0.004276988356638737,0.9957230116434289,1.0000000000000677
1.3071129707112972,0.004526967375596307,0.9954730326248561,1.0000000000004523
1.3481171548117157,0.004787185941911666,0.9952128140574776,0.9999999999993893
1.389121338912134,0.005058044826452147,0.9949419551743114,1.0000000000007636
1.4301255230125525,0.005339960802591639,0.9946600391970528,0.9999999999996445
1.4711297071129708,0.005633367304672364,0.9943666326948956,0.9999999999995679
1.5121338912133893,0.005938715114914358,0.9940612848845767,0.9999999999994911
1.5531380753138078,0.006256473077770401,0.9937435269210966,0.999999999998867
1.594142259414226,0.006587128845327232,0.9934128711551984,1.0000000000005256
1.6351464435146446,0.006931189651979132,0.9930688103488543,1.0000000000008333
1.6761506276150628,0.007289183122987118,0.9927108168774117,1.0000000000003988
1.7171548117154813,0.007661658114487757,0.9923383418852039,0.9999999999996916
1.7581589958158998,0.00804918558913334,0.9919508144118776,1.000000000001011
1.7991631799163181,0.008452359527628628,0.9915476404737887,1.0000000000014173
1.8401673640167366,0.008871797876351971,0.9911282021246798,1.0000000000010318
1.881171548117155,0.009308143535489304,0.9906918564665974,1.0000000000020868
1.9221757322175734,0.009762065384365077,0.9902379346167698,1.0000000000011349
1.963179916317992,0.01023425935071966,0.9897657406486934,0.999999999999413
2.0041841004184104,0.010725449520579466,0.98927455047916,0.9999999999997395
2.045188284518829,0.011236389294146644,0.9887636107074856,1.0000000000016322
