x_max,n_grid,h,state_0_abs_error,state_1_abs_error,state_2_abs_error,state_3_abs_error
4.0,1251,0.0032,8.198181300489438e-09,2.9948999102913376e-07,5.234990832825304e-06,5.841357422919913e-05
5.0,1563,0.003201024327784891,6.776801342311956e-13,3.525224556710782e-11,1.105689761971007e-09,1.9219302593853627e-08
6.0,1875,0.0032017075773745998,1.8185453143360064e-13,8.589129407710061e-12,3.590905350847606e-11,9.5033314551074e-11
7.0,2188,0.003200731595793324,1.8185453143360064e-13,8.589129407710061e-12,3.590905350847606e-11,9.589307126134372e-11
8.0,2500,0.003201280512204882,1.8185453143360064e-13,7.72937269744034e-12,3.504929679820634e-11,9.5033314551074e-11
10.0,3125,0.003201024327784891,1.8185453143360064e-13,8.589129407710061e-12,3.590905350847606e-11,9.589307126134372e-11
