energy,transmission,reflection,T_plus_R
0.2,6.475107542345745e-05,0.9999352489235899,0.9999999999990133
0.21145584725536995,7.1305138741183e-05,0.9999286948582216,0.9999999999969628
0.22291169451073986,7.831760265528551e-05,0.9999216823888958,0.9999999999915511
0.2343675417661098,8.582108776831897e-05,0.9999141789160321,1.0000000000038003
0.2458233890214797,9.385077617900164e-05,0.9999061492258391,1.0000000000020182
0.2572792362768497,0.00010244463878686577,0.9998975553665298,1.0000000000053166
0.2687350835322196,0.00011164368529686066,0.9998883563140482,0.999999999999345
0.2801909307875895,0.00012149223978815108,0.9998785077581098,0.999999999997898
0.29164677804295946,0.00013203824470131085,0.9998679617536002,0.9999999999983015
0.3031026252983294,0.0001433335963635469,0.9998566664055628,1.0000000000019265
0.3145584725536993,0.00015543451612388278,0.9998445654841094,1.0000000000002334
0.32601431980906925,0.00016840196101270444,0.9998315980395144,1.0000000000005271
0.33747016706443916,0.00018230207902410162,0.9998176979177615,0.9999999999967857
0.3489260143198091,0.0001972067141702446,0.9998027932847832,0.9999999999989534
0.36038186157517904,0.00021319396778769574,0.9997868060296687,0.9999999999974565
0.3718377088305489,0.000230348823133983,0.9997696511769496,1.0000000000000835
0.38329355608591886,0.00024876384114665975,0.9997512361602765,1.000000000001423
0.39474940334128883,0.0002685399369508553,0.9997314600631744,1.0000000000001252
0.4062052505966587,0.0002897872475441775,0.9997102127591417,1.000000000006686
0.41766109785202865,0.0003126261028058469,0.999687373898717,1.0000000000015228
0.42911694510739856,0.0003371881140383611,0.9996628118921679,1.0000000000062061
0.4405727923627685,0.0003636173961335238,0.9996363826030736,0.9999999999992072
0.45202863961813844,0.0003920719419762928,0.9996079280578569,0.9999999999998332
0.46348448687350835,0.0004227251709472858,0.9995772748272936,0.999999999998241
0.4749403341288783,0.00045576767658125667,0.9995442323241369,1.000000000000718
0.4863961813842482,0.0004914092024322842,0.9995085907976755,1.0000000000001077
0.49785202863961814,0.000529880880732063,0.9994701191207104,1.0000000000014424
0.509307875894988,0.0005714377734501089,0.9994285622265647,1.0000000000000149
0.520763723150358,0.000616361762241581,0.9993836382363889,0.9999999999986304
0.532219570405728,0.0006649648430094745,0.9993350351565037,0.9999999999995132
0.5436754176610978,0.0007175928891181763,0.9992824071126983,1.0000000000018165
0.5551312649164678,0.0007746299604379231,0.9992253700395575,0.9999999999999954
0.5665871121718378,0.0008365032482237054,0.9991634967502794,0.9999999999985031
0.5780429594272076,0.0009036887646223545,0.999096311234191,0.9999999999988133
0.5894988066825776,0.0009767179053823479,0.9990232820916193,0.9999999999970016
0.6009546539379476,0.001056185038627906,0.9989438149596543,0.9999999999982823
0.6124105011933174,0.0011427563064647325,0.9988572436948383,1.000000000001303
0.6238663484486874,0.001237179861874326,0.9987628201412616,1.000000000003136
0.6353221957040573,0.0013402978088407705,0.998659702193023,1.0000000000018638
0.6467780429594272,0.001453060175576902,0.9985469398242441,0.999999999999821
0.6582338902147971,0.0015765413196313577,0.99842345867868,0.9999999999983114
0.6696897374701671,0.0017119592509031412,0.998288040750101,1.000000000001004
0.681145584725537,0.001860698477426737,0.9981393015243211,1.0000000000017477
0.6926014319809068,0.0020243371141183872,0.9979756628858744,0.9999999999999928
0.7040572792362769,0.002204679174716522,0.9977953208249166,0.9999999999996332
0.7155131264916468,0.0024037931989161283,0.9975962068005662,0.9999999999994823
