state_index,parity,energy,mismatch
0,even,2.35754651596311,3.319824897086875e-10
1,odd,2.3596501931047302,6.625371003309641e-11
2,even,6.550294060972821,-6.152364935763465e-12
3,odd,6.686363702236417,-3.6524705456868205e-13
