x_max,n_grid,h,state_0_abs_error,state_1_abs_error,state_2_abs_error,state_3_abs_error
4.0,1251,0.0032,5.659847923666916e-09,2.996417030054488e-07,5.174208942637648e-06,5.8423593056300405e-05
5.0,1563,0.003201024327784891,1.3877419879904096e-08,4.71822581005199e-11,6.130048868513427e-08,1.9358017411263972e-08
6.0,1875,0.0032017075773745998,1.3886585437106191e-08,2.4997781622460025e-12,6.248285666643483e-08,2.595745840494601e-11
7.0,2188,0.003200731595793324,1.3874555726545168e-08,3.0726532429525832e-12,6.242557093472101e-08,2.595745840494601e-11
8.0,2500,0.003201280512204882,1.388257553358585e-08,3.0726532429525832e-12,6.245707817598145e-08,2.595745840494601e-11
10.0,3125,0.003201024327784891,1.3878565630065509e-08,1.9269030815394217e-12,6.2442756743053e-08,2.538458332423943e-11
