x_max,n_grid,h,state_0_abs_error,state_1_abs_error,state_2_abs_error,state_3_abs_error
2.5,2500,0.0010004001600640256,0.11405081755734958,0.1144382628392897,0.30626377184267817,0.3648720006037349
3.0,3000,0.0010003334444814939,0.0002801356389410259,0.00028111923346818557,0.0016296914710709487,0.0019368883395802783
3.5,3500,0.0010002857959416976,7.927456913137121e-09,7.9588531320951e-09,7.064432328007797e-08,8.513576243984744e-08
4.0,4000,0.001000250062515629,2.9753977059954195e-13,3.4483527144857362e-12,4.405364961712621e-13,4.919620266718994e-12
4.5,4500,0.0010002222716159147,6.581402089977928e-13,5.913491918363434e-12,3.2951419370874646e-13,9.423573033018329e-13
5.0,5000,0.0010002000400080016,0.0,0.0,0.0,0.0
