state_index,parity,energy,mismatch
0,even,2.3572729754773616,2.0379753186729533e-07
1,odd,2.3593717648723067,1.7321004168405385e-07
2,even,6.548813947107635,1.1630597429980584e-09
3,odd,6.684429504886613,-5.391609740997387e-08
